Variable,Category,WoE,Beta,Points
int_rate_bin,"(24.0, 26.06]",-0.9178,-0.823,782.49
int_rate_bin,"(22.0, 24.0]",-0.8992,-0.823,766.63
int_rate_bin,"(20.0, 22.0]",-0.7289,-0.823,621.44
int_rate_bin,"(18.0, 20.0]",-0.5615,-0.823,478.72
int_rate_bin,"(16.0, 18.0]",-0.3777,-0.823,322.02
int_rate_bin,"(14.0, 16.0]",-0.1132,-0.823,96.51
int_rate_bin,"(12.0, 14.0]",0.1485,-0.823,-126.61
int_rate_bin,"(10.0, 12.0]",0.481,-0.823,-410.09
int_rate_bin,"(8.0, 10.0]",0.8218,-0.823,-700.64
int_rate_bin,"(5.417999999999999, 8.0]",1.2387,-0.823,-1056.08
home_ownership,RENT,-0.1628,-0.1351,22.78
home_ownership,OWN,0.0107,-0.1351,-1.5
home_ownership,MORTGAGE,0.1448,-0.1351,-20.26
annual_inc_bin,"(-0.001, 30000.0]",-0.3473,-0.5657,203.52
annual_inc_bin,"(30000.0, 45000.0]",-0.2354,-0.5657,137.95
annual_inc_bin,"(45000.0, 60000.0]",-0.0967,-0.5657,56.67
annual_inc_bin,"(60000.0, 80000.0]",0.0677,-0.5657,-39.67
annual_inc_bin,"(80000.0, 100000.0]",0.2372,-0.5657,-139
annual_inc_bin,"(100000.0, 130000.0]",0.3648,-0.5657,-213.78
annual_inc_bin,"(130000.0, 160000.0]",0.3946,-0.5657,-231.24
annual_inc_bin,"(160000.0, 7500000.0]",0.469,-0.5657,-274.84
verification_status,Verified,-0.1734,-0.3873,69.57
verification_status,Source Verified,0.0544,-0.3873,-21.83
verification_status,Not Verified,0.167,-0.3873,-67
purpose,OTHER,-0.3577,-0.4009,148.54
purpose,debt_consolidation,-0.0405,-0.4009,16.82
purpose,home_improvement,0.1198,-0.4009,-49.75
purpose,major_purchase,0.1494,-0.4009,-62.04
purpose,car,0.2256,-0.4009,-93.68
purpose,credit_card,0.2627,-0.4009,-109.09
dti_bin,"(28.0, 40.0]",-0.2202,-0.5817,132.69
dti_bin,"(22.0, 28.0]",-0.1801,-0.5817,108.53
dti_bin,"(18.0, 22.0]",-0.076,-0.5817,45.8
dti_bin,"(14.0, 18.0]",0.0484,-0.5817,-29.17
dti_bin,"(11.0, 14.0]",0.126,-0.5817,-75.93
dti_bin,"(8.0, 11.0]",0.1953,-0.5817,-117.69
dti_bin,"(-0.001, 5.0]",0.2063,-0.5817,-124.32
dti_bin,"(5.0, 8.0]",0.26,-0.5817,-156.68
inq_last_6mths,7+,-1.4928,-0.628,971.14
inq_last_6mths,6-Mar,-0.4444,-0.628,289.11
inq_last_6mths,2-Jan,-0.1239,-0.628,80.6
inq_last_6mths,0,0.2004,-0.628,-130.37
revol_util_bin,"(95.0, 100.0]",-0.3016,-0.2865,89.5
revol_util_bin,"(100.0, 9999.0]",-0.2985,-0.2865,88.58
revol_util_bin,"(90.0, 95.0]",-0.2559,-0.2865,75.94
revol_util_bin,"(80.0, 90.0]",-0.1851,-0.2865,54.93
revol_util_bin,"(70.0, 80.0]",-0.1169,-0.2865,34.69
revol_util_bin,"(55.0, 70.0]",-0.0365,-0.2865,10.83
revol_util_bin,"(40.0, 55.0]",0.0677,-0.2865,-20.09
revol_util_bin,"(20.0, 40.0]",0.1968,-0.2865,-58.4
revol_util_bin,"(-0.001, 20.0]",0.3111,-0.2865,-92.32
initial_list_status,f,-0.1083,-0.7184,80.6
initial_list_status,w,0.2294,-0.7184,-170.73
tot_cur_bal_bin,"(-0.001, 10000.0]",-0.3012,-0.7867,245.45
tot_cur_bal_bin,"(10000.0, 25000.0]",-0.0821,-0.7867,66.9
tot_cur_bal_bin,"(25000.0, 50000.0]",-0.0555,-0.7867,45.23
tot_cur_bal_bin,"(50000.0, 100000.0]",-0.0125,-0.7867,10.19
tot_cur_bal_bin,"(100000.0, 200000.0]",0.0964,-0.7867,-78.56
tot_cur_bal_bin,"(200000.0, 400000.0]",0.3291,-0.7867,-268.19
tot_cur_bal_bin,"(400000.0, 800000.0]",0.5939,-0.7867,-483.98
tot_cur_bal_bin,"(800000.0, 8000078.0]",0.7703,-0.7867,-627.73
total_rev_hi_lim_bin,"(-0.001, 5000.0]",-0.2557,-0.1579,41.84
total_rev_hi_lim_bin,"(5000.0, 10000.0]",-0.1413,-0.1579,23.12
total_rev_hi_lim_bin,"(10000.0, 20000.0]",-0.1129,-0.1579,18.47
total_rev_hi_lim_bin,"(20000.0, 40000.0]",0.0246,-0.1579,-4.02
total_rev_hi_lim_bin,"(40000.0, 70000.0]",0.3236,-0.1579,-52.94
total_rev_hi_lim_bin,"(70000.0, 100000.0]",0.524,-0.1579,-85.73
total_rev_hi_lim_bin,"(100000.0, 150000.0]",0.7748,-0.1579,-126.77
total_rev_hi_lim_bin,"(150000.0, 9999999.0]",0.8815,-0.1579,-144.22
term_int,60,-0.2949,-0.2792,85.31
term_int,36,0.1322,-0.2792,-38.24
